Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,,Wholesale,2019,,80000.00,90000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,,20000.00,40000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,30.00,25.00,40.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,30.00,25.00,40.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,30.00,20.00,50.00,5 gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Wholesale,2019,,12000.00,15000.00,Kilogram,USA
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2019,100.00,100.00,200.00,Gram,USA
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2018,4000.00,4000.00,4500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2017,4000.00,4000.00,4500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2016,800.00,500.00,1000.00,200 milligram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2019,150.00,100.00,300.00,Gram,USA
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Wholesale,2019,,3000000.00,4000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2018,3000.00,2500.00,3000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2017,3000.00,2500.00,3000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2016,500.00,300.00,600.00,200 milligram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,,Wholesale,2018,140000.00,100000.00,2000000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,60000.00,50000.00,100000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,60000.00,55000.00,70000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,100.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,60000.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis oil,,Wholesale,2017,350000.00,300000.00,600000.00,Litre,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis oil,,Wholesale,2016,400000.00,,,Millilitre,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis oil,,Street,2016,600000.00,,,Millilitre,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cocaine-type,Cocaine,,Wholesale,2018,170000.00,160000.00,240000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cocaine-type,Cocaine,,Wholesale,2017,350000.00,380000.00,450000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Street,2016,240000.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2016,170000.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Opioids,Heroin,,Wholesale,2018,80000.00,60000.00,100000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Opioids,Heroin,,Wholesale,2017,300000.00,250000.00,350000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Opioids,Heroin,,Wholesale,2016,80000.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Opioids,Heroin,,Street,2016,120000.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),“Ecstasy”-type substances,Tablets,Wholesale,2018,1500.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,,Street,2018,15000.00,10000.00,20000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,600.00,500.00,600.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,600.00,500.00,600.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Cocaine-type,Cocaine,,Street,2018,15000.00,10000.00,20000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Opioids,Heroin,,Street,2018,15000.00,10000.00,20000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Mauritius,Opioids,Buprenorphine,Tablets,Wholesale,2018,2400.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),“Ecstasy”-type substances,,Wholesale,2018,550.00,100.00,1000.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),“Ecstasy”-type substances,,Street,2018,900.00,300.00,1500.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),“Ecstasy”-type substances,Tablets,Wholesale,2017,1000000.00,800000.00,1200000.00,1000 tablets,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2017,1500.00,1300.00,1700.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2016,1000000.00,800000.00,1200000.00,1000 tablets,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2016,1500.00,1300.00,1700.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,250.00,100.00,400.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,125000.00,70000.00,180000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,350.00,200.00,500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Street,2016,350.00,200.00,500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2016,125000.00,70000.00,180000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2018,20000.00,15000.00,25000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2018,8500000.00,7000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2018,11000000.00,10000000.00,12000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2018,12000.00,9000.00,15000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2017,9000000.00,8000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2017,9500.00,9000.00,10000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2016,6500000.00,6000000.00,7000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2016,8000.00,7000.00,9000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Wholesale,2018,6000000.00,5000000.00,7000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Street,2018,10000.00,8000.00,12000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Street,2017,10500.00,9000.00,12000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Wholesale,2017,9000000.00,8000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Street,2016,10500.00,9000.00,12000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Wholesale,2016,9000000.00,8000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Opiates,,Street,2018,5000.00,4000.00,6000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Algeria,Opioids,Opiates,,Wholesale,2018,600000.00,400000.00,800000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2019,,350.00,400.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2019,,250.00,300.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2017,,300.00,350.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2017,,250000.00,300000.00,1000 tablets,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2016,,250.00,300.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2016,,200.00,250.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,"""Captagon""",Tablets,Street,2019,,350.00,400.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,"""Captagon""",Tablets,Wholesale,2019,,250.00,300.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Street,2019,,1800.00,2500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2019,,1000000.00,1500000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Street,2017,,1000.00,1500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2017,,500000.00,750000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Street,2016,,1000.00,1200.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2016,,700000.00,800000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,,3000.00,3500.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,,100.00,200.00,5 gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,,100000.00,150000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,,250.00,300.00,Pill,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,,1500.00,2000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,,20.00,30.00,Packages,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,,800.00,1000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,,25.00,30.00,Packet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,,750.00,875.00,5 gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2019,,65000.00,75000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,,50000.00,60000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,,250.00,300.00,Kersh,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Street,2016,,350.00,400.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2016,,40000.00,50000.00,OKA (Egyptian),"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cannabis-type drugs,Other types of cannabis,,Wholesale,2019,,250000.00,300000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Street,2019,,2000.00,2500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Wholesale,2019,,1000000.00,1500000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Wholesale,2017,,800000.00,1000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Street,2017,,800.00,1200.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Street,2016,,1000.00,1200.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Cocaine-type,Cocaine,,Wholesale,2016,,600000.00,800000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Any other drugs/substances,,,Wholesale,2016,15.00,10.00,20.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Street,2019,,120.00,200.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Wholesale,2019,,100000.00,130000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Wholesale,2017,,100000.00,150000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Street,2017,,125.00,175.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Street,2016,,120.00,180.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Heroin,,Wholesale,2016,,120000.00,150000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Wholesale,2019,,100000.00,120000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Street,2019,,875.00,1000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Wholesale,2017,,45000.00,50000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Street,2017,,200.00,250.00,Kersh,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Street,2016,,200.00,300.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Opiates,,Wholesale,2016,,35000.00,40000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,Tablets,Wholesale,2019,,500.00,600.00,10 units,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,Tablets,Street,2019,,60.00,80.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,,Wholesale,2017,,40.00,50.00,10 tablets,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,,Street,2017,,5.00,8.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,,Wholesale,2016,,75.00,100.00,10 units,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Egypt,Opioids,Tramadol,,Street,2016,,10.00,15.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2019,40.00,30.00,70.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2019,25.00,20.00,40.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2018,60.00,50.00,70.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2017,60.00,50.00,70.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2016,300.00,250.00,350.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Any other drugs/substances,,,Wholesale,2019,15000.00,13000.00,17000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,38.50,,,100 gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,375.00,350.00,400.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,30.00,25.00,50.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2019,7000.00,5000.00,10000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2018,7300.00,5000.00,10000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,15.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,15.00,10.00,20.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,7500.00,5000.00,10000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Street,2016,15.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2016,6000.00,5000.00,7000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Wholesale,2019,600000.00,400000.00,800000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2019,1000.00,700.00,1500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Wholesale,2018,833000.00,500000.00,1200000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2018,1000.00,700.00,1500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Wholesale,2017,800000.00,500000.00,1200000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2017,1000.00,700.00,1500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Wholesale,2016,400000.00,300000.00,500000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2016,750.00,700.00,800.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Other coca/cocaine-type drugs,,Street,2017,400.00,300.00,500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Cocaine-type,Other coca/cocaine-type drugs,,Street,2016,400.00,300.00,500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Hallucinogens,LSD,,Wholesale,2017,15.00,10.00,20.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Opioids,Heroin,,Street,2019,200.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Opioids,Heroin,,Street,2018,200.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Opioids,Heroin,,Street,2017,200.00,150.00,250.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Opioids,Heroin,,Street,2016,200.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Sedatives and tranquillizers,Benzodiazepines,,Street,2019,45.00,40.00,50.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Sedatives and tranquillizers,Benzodiazepines,,Wholesale,2019,20.00,15.00,50.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Sedatives and tranquillizers,Benzodiazepines,,Street,2017,42.50,40.00,45.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Morocco,Sedatives and tranquillizers,Reported total sedatives and tranquillizers,,Street,2018,42.50,40.00,45.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Amphetamine-type stimulants,Amphetamine,Tablets,Wholesale,2017,20000.00,20000.00,30000.00,1000 tablets,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Amphetamine-type stimulants,Amphetamine,Tablets,Street,2017,40.00,60.00,75.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,5500.00,5000.00,6500.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,15.50,15.00,18.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Cocaine-type,Cocaine,,Street,2017,3000.00,2500.00,3500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Sudan,Opioids,Heroin,,Street,2017,3000.00,2500.00,3500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Amphetamine-type stimulants,“Ecstasy”-type substances,,Wholesale,2019,20.00,20.00,25.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2019,35.00,35.00,40.00,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,45.00,42.00,50.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2019,38000.00,35000.00,40000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Cocaine-type,Cocaine,,Street,2019,380.00,380.00,400.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Cocaine-type,Cocaine,,Wholesale,2019,350.00,320.00,360.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Opioids,Heroin,,Street,2019,280.00,270.00,300.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Opioids,Heroin,,Wholesale,2019,250.00,230.00,260.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,North Africa,Tunisia,Sedatives and tranquillizers,Non-specified sedatives and tranquillizers,,Street,2019,6.00,6.00,10.00,Tablet,"National currency (not EUR, USD or CHF)"
