Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Wholesale,2017,2125000.00,700000.00,5000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Street,2017,11500.00,5000.00,25000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Wholesale,2017,5200000.00,2000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Street,2017,4800.00,1000.00,10000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Wholesale,2016,5200000.00,2000000.00,10000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Street,2016,4500.00,1000.00,10000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Street,2016,11000.00,5000.00,25000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Cocaine-type,Cocaine,,Wholesale,2016,2100000.00,700000.00,5000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Hallucinogens,LSD,,Street,2019,16833.00,10000.00,25000.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Hallucinogens,LSD,,Street,2018,32500.00,25000.00,45000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Hallucinogens,LSD,,Wholesale,2017,16300.00,15000.00,25000.00,Dose,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Chile,Hallucinogens,LSD,,Wholesale,2016,17000.00,15000.00,25000.00,Dose,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2019,35400.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2018,41500.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2017,36400.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2016,42200.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Amphetamine-type stimulants,Methamphetamine,Tablets,Street,2018,35100.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Amphetamine-type stimulants,Methamphetamine,,Street,2017,33900.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Amphetamine-type stimulants,Methamphetamine,,Street,2016,50000.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,515900.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,49300.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,514400.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,347000.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Cocaine-type,Cocaine,,Wholesale,2019,4920800.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Cocaine-type,Cocaine,,Wholesale,2018,4970600.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Cocaine-type,Cocaine,,Wholesale,2017,4449500.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Cocaine-type,Cocaine,,Wholesale,2016,4984600.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
